Lon,Lat
23.886105,37.787665
23.88607,37.787618
23.885717,37.787418
23.885673,37.7874
23.885627,37.787393
23.88558,37.7874
23.885528,37.78742
23.885477,37.787453
23.885335,37.787607
23.885263,37.787687
23.88526,37.78769
23.885245,37.787708
23.885192,37.787765
23.885097,37.787865
23.884918,37.787992
23.884585,37.788242
23.884292,37.788437
23.883353,37.788983
23.882302,37.789588
23.88126,37.790207
23.880345,37.790988
23.87959,37.7918
23.878853,37.792338
23.877785,37.792877
23.876645,37.79349
23.875495,37.794075
23.874363,37.794652
23.873298,37.79521
23.872548,37.795732
23.87193,37.79638
23.871355,37.797353
23.870902,37.798328
23.87046,37.799268
23.870048,37.800185
23.869597,37.801115
23.869363,37.801458
23.869113,37.801765
23.868782,37.802
23.868405,37.802188
23.867525,37.802362
23.866932,37.802445
23.866438,37.802527
23.866175,37.802567
23.866015,37.802592
23.865905,37.802612
23.865823,37.802627
23.86567,37.80265
23.865437,37.802695
23.865282,37.802708
23.864858,37.802772
23.86357,37.802968
23.862185,37.803187
23.861022,37.803363
23.85986,37.80356
23.858698,37.803768
23.857577,37.803992
23.856258,37.804253
23.854988,37.804542
23.8543,37.804747
23.85355,37.805037
23.853255,37.805232
23.852688,37.806072
23.852592,37.806208
23.85231,37.806405
23.851917,37.806558
23.850735,37.806902
23.84989,37.807293
23.848875,37.80794
23.847903,37.808615
23.847015,37.809365
23.846195,37.810183
23.84546,37.81096
23.844835,37.811778
23.844262,37.812558
23.844005,37.813032
23.84384,37.813477
23.843807,37.813948
23.843903,37.814965
23.843882,37.815835
23.84379,37.816208
23.84361,37.816533
23.842788,37.817332
23.841985,37.818025
23.8411,37.818745
23.840203,37.81946
23.83966,37.819793
23.838743,37.820162
23.838252,37.820303
23.838252,37.820303
23.837985,37.820393
23.837813,37.82045
23.837712,37.820485
23.837617,37.820505
23.837538,37.820518
23.83744,37.820553
23.83729,37.820597
23.836613,37.82077
23.835835,37.820828
23.834603,37.82077
23.834148,37.820692
23.833752,37.820507
23.833398,37.820233
23.833187,37.819902
23.833092,37.819553
23.83318,37.819233
23.833567,37.818647
23.834158,37.817872
23.834313,37.81757
23.834377,37.817263
23.834368,37.81713
23.83434,37.816838
23.834108,37.816397
23.833777,37.815778
23.833642,37.815352
23.83378,37.814857
23.833807,37.814613
23.833753,37.814443
23.833702,37.814365
23.833628,37.814303
23.83353,37.81426
23.833402,37.81422
23.833055,37.814192
23.832412,37.814258
23.831278,37.814452
23.831078,37.814497
23.830697,37.814533
23.830582,37.814517
23.83043,37.814453
23.830313,37.814398
23.830242,37.814305
23.830173,37.814193
23.83016,37.814072
23.83019,37.81399
23.830237,37.813883
23.830305,37.813818
23.830387,37.813763
23.830963,37.813715
23.831232,37.81366
23.831358,37.813613
23.8315,37.813545
23.831667,37.813278
23.832193,37.812465
23.832413,37.812147
23.832575,37.81185
23.83266,37.81152
23.832658,37.811205
23.832538,37.81089
23.832285,37.810633
23.831928,37.810452
23.831537,37.810312
23.830527,37.810225
23.829197,37.810227
23.827895,37.810307
23.827395,37.810377
23.826917,37.810498
23.82579,37.811025
23.824748,37.81159
23.824015,37.812127
23.823207,37.813003
23.822542,37.813757
23.821735,37.814615
23.820973,37.815427
23.820588,37.815843
23.81992,37.81659
23.819323,37.817425
23.818758,37.818305
23.81818,37.819187
23.81754,37.82002
23.817123,37.820707
23.816755,37.82161
23.816573,37.821947
23.816107,37.822372
23.81578,37.82258
23.815575,37.822655
23.815123,37.822718
23.814152,37.822645
23.812838,37.822485
23.81145,37.822297
23.810118,37.822108
23.808795,37.821937
23.807597,37.821758
23.806473,37.821608
23.805537,37.821462
23.804742,37.82137
23.80448,37.821298
23.80423,37.821192
23.803983,37.821035
23.803803,37.820868
23.80374,37.820797
23.803637,37.820623
23.803618,37.820582
23.803465,37.820052
23.803307,37.81934
23.803205,37.819185
23.80278,37.818778
23.80256,37.81861
23.802337,37.818397
23.802232,37.818268
23.80205,37.81799
23.801788,37.817377
23.801622,37.817023
23.801188,37.81604
23.80084,37.815223
23.800745,37.815025
23.800777,37.81478
23.80101,37.813842
23.801078,37.813482
23.801037,37.813257
23.800882,37.812902
23.80038,37.81206
23.799863,37.811235
23.799732,37.810925
23.799682,37.810657
23.799712,37.810388
23.79988,37.809965
23.800472,37.80914
23.800648,37.808875
23.80071,37.808753
23.800728,37.808642
23.800712,37.808515
23.800683,37.80841
23.800607,37.808312
23.8005,37.80826
23.79958,37.807825
23.799227,37.807665
23.798932,37.807427
23.798713,37.807152
23.798555,37.806473
23.798487,37.805555
23.798433,37.805063
23.798337,37.804783
23.797657,37.804022
23.797428,37.803733
23.797352,37.803417
23.797473,37.802655
23.797587,37.802075
23.797558,37.801832
23.79748,37.801575
23.79729,37.801375
23.79705,37.801202
23.7969,37.80114
23.796743,37.801078
23.796428,37.801048
23.796108,37.8011
23.796108,37.8011
23.795748,37.801205
23.794635,37.80153
23.793513,37.801838
23.792872,37.801957
23.791797,37.80191
23.790443,37.801778
23.789805,37.801717
23.789007,37.801687
23.788667,37.801662
23.788523,37.801605
23.78837,37.801538
23.788243,37.801448
23.787825,37.800702
23.787723,37.800513
23.787652,37.800433
23.787568,37.800367
23.787487,37.800323
23.787253,37.800258
23.787145,37.800262
23.787033,37.800282
23.786805,37.800328
23.786693,37.800392
23.786612,37.800452
23.786525,37.800528
23.786467,37.800635
23.78642,37.800742
23.78644,37.800943
23.786552,37.801145
23.786957,37.80148
23.787145,37.801645
23.787223,37.801737
