Lon,Lat
25.433303,36.414508
25.433305,36.414488
25.433317,36.414452
25.433333,36.414407
25.433382,36.414342
25.433398,36.41431
25.433445,36.414288
25.433457,36.414293
25.433462,36.414317
25.433357,36.414763
25.43317,36.415682
25.43313,36.41582
25.432987,36.416272
25.432985,36.416305
25.432997,36.416332
25.433735,36.416352
25.433807,36.41636
25.433833,36.41643
25.433833,36.41643
25.433852,36.416417
25.433868,36.416405
25.434077,36.416418
25.434145,36.416425
25.4342,36.416447
25.434205,36.416467
25.434117,36.416883
25.43391,36.417782
25.433833,36.417992
25.433718,36.418168
25.43365,36.418212
25.433618,36.418213
25.433585,36.41822
25.433505,36.41829
25.43346,36.418337
25.433395,36.418328
25.432843,36.41828
25.432798,36.418282
25.432553,36.418295
25.432423,36.418285
25.432303,36.418298
25.432287,36.418313
25.432238,36.418822
25.432223,36.418858
25.43223,36.418867
25.43211,36.419478
25.43199,36.41988
25.431978,36.419912
25.431945,36.420133
25.431965,36.420248
25.431977,36.420728
25.431953,36.420925
25.431945,36.421078
25.431948,36.42117
25.431785,36.42167
25.431717,36.42182
25.431685,36.421882
25.431683,36.42193
25.43167,36.422018
25.431605,36.422928
25.431592,36.42305
25.431517,36.423237
25.431177,36.423567
25.430373,36.424237
25.430203,36.424418
25.429952,36.424622
25.429877,36.424708
25.429855,36.424762
25.429857,36.424888
25.430022,36.425197
25.43022,36.42567
25.43057,36.426355
25.430677,36.4265
25.43088,36.426605
25.43099,36.42669
25.431035,36.426718
25.431057,36.426748
25.431045,36.426928
25.43099,36.427092
25.430977,36.427522
25.430985,36.42777
25.43102,36.42788
25.431278,36.428147
25.431525,36.428268
25.431665,36.428298
25.432627,36.428288
25.4329,36.42827
25.433293,36.428132
25.434078,36.427465
25.434335,36.427192
25.434578,36.426452
25.434818,36.426028
25.43493,36.425812
25.434988,36.42482
25.435022,36.424445
25.435115,36.424215
25.435268,36.42401
25.436003,36.423185
25.436663,36.422387
25.436845,36.42212
25.436947,36.421818
25.436938,36.421378
25.4369,36.42116
25.436603,36.420673
25.436377,36.420378
25.436317,36.420162
25.436428,36.419182
25.43633,36.418503
25.436302,36.417892
25.436343,36.417413
25.436368,36.417305
25.436418,36.417238
25.436437,36.417225
25.436482,36.417195
25.43655,36.417178
25.436843,36.417168
25.437042,36.417188
25.437997,36.417243
25.438355,36.417218
25.439555,36.417008
25.440595,36.416953
25.441947,36.416963
25.443098,36.416963
25.44425,36.416915
25.444868,36.416942
25.44624,36.417198
25.446968,36.41744
25.448077,36.417885
25.449203,36.418032
25.450422,36.418213
25.450938,36.418373
25.45184,36.418725
25.452085,36.418833
25.45213,36.41885
25.452175,36.418852
25.452207,36.41882
25.452238,36.41878
25.45228,36.418695
25.45235,36.418558
25.452532,36.418062
25.452668,36.417733
25.452828,36.417537
25.45304,36.417355
25.45329,36.417217
25.453753,36.417098
25.453915,36.417072
25.45439,36.416952
25.455182,36.41637
25.455402,36.416203
25.455783,36.41604
25.4569,36.415698
25.457327,36.415533
25.45755,36.415367
25.457802,36.41506
25.457893,36.414837
25.457913,36.414363
25.457842,36.413438
25.457948,36.412857
25.458217,36.411872
25.458212,36.411513
25.45806,36.410587
25.457922,36.409663
25.457902,36.408718
25.457897,36.407698
25.457957,36.406707
25.458042,36.406345
25.458152,36.406127
25.458452,36.405735
25.458673,36.405578
25.459025,36.405378
25.459385,36.405243
25.46057,36.404932
25.461735,36.404593
25.462828,36.404285
25.463927,36.40386
25.46415,36.403692
25.464578,36.40359
25.465673,36.403903
25.466748,36.40435
25.467847,36.40479
25.468997,36.405293
25.469818,36.40566
25.470427,36.405898
25.470935,36.406083
25.47107,36.406147
25.471238,36.406162
25.471315,36.406147
25.471393,36.406098
25.471428,36.406048
25.471315,36.40604
25.47135,36.405988
25.471522,36.405797
25.472008,36.404972
25.470933,36.403572
25.470933,36.403572
25.470933,36.403572
25.470933,36.403572
25.470933,36.403572
